id	cj6	cj5	cj5f	unicode
53316	SOX	SOYLM	SOYLM	23949
53317	SOY	SOY	SOY	5C3D
53318	SOYLN	SYLN	SYLN	206FE
53319	SOYMR	SOYMR	SOYMR	27A2D
53320	SOYPN	SOYPN	SOYPN	
53321	SOYPU	SOYPU	SOYPU	271EC
53322	SO1	XSO	SO	21C26
53323	SO2	XXSO	SO	2092D
53324	SP	SP	SP	5C3C
53325	SPA	SPA	SPA	3793
53326	SPBUC	SPBUC	SPBUC	8D12
53327	SPD	SPD	SPD	531C
53328	SPDYE	SDYE	SDYE	22F82
53329	SPD1	XSPD	SPD	23409
53330	SPEED	SPEED	SPEED	23670
53331	SPG	SPG	SPG	212B4
53332	SPHA	SPHA	SPHA	532B
53333	SPHH	SPHH	SPHH	5322
53334	SPHNI	SPHNI	SPHNI	29638
53335	SPHP	SPHP	SPHP	21C7D
53336	SPHZ	XSPHA	SPHAF	4CBF
53337	SPNO	SPNO	SPNO	2389E
53338	SPP	SPP	SPP	5C41
53339	SPP1	XSPP	SPP	22612
53340	SPR	SPR	SPR	21C48
53341	SPT	SPT	SPT	5C49
53342	SPTD	SPTD	SPTD	5C5F
53343	SPU	SPU	SPU	20932
53344	SQ	SQ	SQ	
53345	SQA	SJKA	SJKA	5C60
53345	SQIA	XSJKA	SJKA	5C60
53346	SQAHZ	SAHAF	SAHAF	9DF5
53347	SQANL	SANL	SANL	48DD
53348	SQF	SQSF	SQSF	99AC
53349	SQFA	SFHDA	SFHDA	29939
53350	SQFI	XSFGI	SFGI	
53351	SQFJ	SFJ	SFJ	4B74
53352	SQFL	SFL	SFL	99BD
53353	SQFNL	SFNL	SFNL	48D5
53354	SQFOG	SFOG	SFOG	9A05
53355	SQFOK	SFOK	SFOK	99C7
53356	SQFP	XXSFP	SFP	227C0
53357	SQFR	XSFR	SFR	29873
53358	SQFT	SFT	SFT	99B5
53359	SQFV	XSFYH	SFYHV	4B8D
53360	SQFYE	SFYE	SFYE	
53361	SQF1	XSQSF	SQF	21B73
53362	SQG	SQG	SQG	2147A
53363	SQA	SJKA	SJKA	5C60
53363	SQIA	XSJKA	SJKA	5C60
53364	SQJJ	SQJJ	SQJJ	21C93
53365	SQL	SQSL	SQSL	
53366	SQMZ	SQMBC	SQMBC	2946B
53367	SQNL	SQNL	SQNL	90A3
53368	SQNXU	SQNXU	SQNXU	
53369	SQO	SQO	SQO	20931
53370	SQSS	SQSMM	SQSMM	26403
53371	SQTT	SQST	SQST	29867
53372	SQYV	SSYHV	SSYHV	
53373	SR	SR	SR	53F5
53374	SRA	SRA	SRA	
53375	SRANG	SRANG	SRANG	28DBD
53376	SRBBE	SRBBE	SRBBE	20EA5
53377	SRBHU	SRBHU	SRBHU	
53378	SRBT	SRBT	SRBT	76EC
53379	SRBT1	XSRBT	SRBT	250A0
53380	SRBUC	SSBUC	SSBUC	
53381	SRBUU	SRBUU	SRBUU	8997
53382	SRBU1	XSRBU	SRBUU	467C
53383	SRBU2	XXSRB	SRBUU	89A0
53384	SRC	SRC	SRC	20934
53385	SRDHE	SRDHE	SRDHE	
53386	SRDI	SRDI	SRDI	5C00
53387	SRDI1	XSRDI	SRDI	21B3F
53388	SRE	SRE	SRE	24108
53389	SRENO	SRENO	SRENO	23905
53390	SRF	XSRF	SRF	24365
53391	SRFBF	SRFBF	SRFBF	2118A
53392	SRFSU	SRFQU	SRFQU	
53393	SRHG	SRHG	SRHG	
53393	SRMG	SRMG	SRMG	8056
53394	SRHML	SRHML	SRHML	230BB
53395	SRHNE	SRHNE	SRHNE	6BC6
53396	SRHNI	SRHNI	SRHNI	20977
53397	SRHN1	XSRHN	SRHNE	
53398	SRHQU	SRHQU	SRHQU	23B38
53399	SRHR	SRHR	SRHR	21C76
53400	SRHRF	SRHRF	SRHRF	20979
53401	SRHR1	XSRHR	SRHR	
53402	SRHUP	SRHVP	SRHVP	23C47
53403	SRHWI	SRHUI	SRHUI	29CB0
53404	SRI	SRI	SRI	
53405	SRI1	XSRI	SRI	
53406	SRJE	SRJE	SRJE	
53407	SRJW	SRJW	SRJW	
53408	SRL	SRL	SRL	20945
53409	SRLB	SRLB	SRLB	5C4C
53410	SRLB1			220C6
53411	SRLI	SRLMI	SRLMI	273FE
53412	SRLII	SRLII	SRLII	460C
53413	SRL1	XSRL	SRL	
53414	SRHG	SRHG	SRHG	
53414	SRMG	SRMG	SRMG	8056
53415	SRMGI	SRMGI	SRMGI	24AA1
53416	SRMPA	NRMPA	NRMPA	
53417	SRMR	NSMLS	NSMLS	623C
53418	SRMSE	SRMSE	SRMSE	21CA0
53419	SRMUN	SRMVN	SRMVN	750C
53420	SRMU1	XSRMV	SRMVN	
53421	SRMZ	XSRMB	SRMBC	2947C
53422	SRMZ1			294AB
53423	SROAV	SSOIV	SSOIV	
53424	SRP	SRP	SRP	615D
53425	SRPR	SRPR	SRPR	208EB
53426	SRP1	XSRP	SRP	22872
53427	SRR	SRR	SRR	
53428	SRRAU	SRRAU	SRRAU	286E6
53429	SRRE	SRRE	SRRE	2095D
53430	SRRHZ	SRHAF	SRHAF	9DD7
53431	SRRJ	SRRJ	SRRJ	5330
53432	SRRKS	XSRKS	SRKS	20894
53433	SRRLN	XXSRL	SRLN	527E
53434	SRRMZ			29538
53435	SRRNO	SRNO	SRNO	6B50
53436	SRROG	SROG	SROG	2902B
53437	SRROK	SROK	SROK	22FDB
53438	SRRR	SRRR	SRRR	5340
53439	SRRR1	XSRRR	SRRR	
53440	SRRU	SRRU	SRRU	5DF6
53441	SRRYE	SRYE	SRYE	657A
53442	SRSL	SRSL	SRSL	5372
53443	SRSRR	SRSRR	SRSRR	2097A
53444	SRSS	SRSMM	SRSMM	4384
53445	SRSU	SRSU	SRSU	
53446	SRTLM	SRTLM	SRTLM	210AC
53447	SRTQ	XSRTQ	SRTQ	7FA4
53448	SRUC	SRUC	SRUC	3535
53449	SRV	SRV	SRV	21837
53450	SRVC	SRVC	SRVC	3535
53451	SRV1	XSRV	SRV	217BA
53452	SRV2	XNRV	NRV	
53453	SRWLV	SRWLV	SRWLV	2633A
53454	SRY	SRY	SRY	209EC
53455	SRYL	SRYTJ	SRYTJ	8F9F
53456	SRYLM	SRYJM	SRYJM	4D19
53457	SRYLZ	SRYJF	SRYJF	9E0A
53458	SRYL1	XSRYT	SRYTJ	28413
53459	SRYL2	XXSRY	SRYTJ	
53460	SRYL3			2842B
53461	SRYO	SRYO	SRYO	27FC3
53462	SRYW	SRYW	SRYW	21CC4
53463	SRY1	XSRY	SRY	209D9
53464	SR1	SLR	SLR	382F
53465	SR2	XSR	SR	21C2A
53466	SR3	SRS	SRS	
53467	SS	SS	SS	5DE8
53468	SS6	XSNMM	SNMM	21C29
53469	SSAHZ	XSAHA	SAHAF	2A136
53470	SSAMO	SMAMO	SMAMO	7FE8
53471	SSANO	SANO	SANO	2390A
53472	SSAO	XSMAM	SMAMO	26467
53473	SSAOG	SAOG	SAOG	29026
53474	SSAS	XSMAS	SMASM	
53475	SSAU	SMAU	SMAU	26406
53476	SSBA	SMBA	SMBA	26432
53477	SSBAA	SMRXU	SMRXU	2A4E6
53478	SSBA1	SSBA	SSBA	
53479	SSBA2	SSRXU	SSRXU	2A4E5
53480	SSBE	SMBME	SMBME	2645B
53481	SSBJ	XSMBJ	SMBJJ	26469
53482	SSBJJ	SMBJJ	SMBJJ	7FEC
53483	SSBKQ	SMBKQ	SMBKQ	7FDA
53484	SSC	XSMC	SMC	26455
53485	SSCA	SMCWA	SMCWA	26497
53486	SSCH	SMCSH	SMCSH	7FC2
53487	SSD	SSD	SSD	
53488	SSDE	SMDHE	SMDHE	7FCD
53489	SSDI	XSMDI	SMDI	263FD
53490	SSDI1	SSDI	SSDI	21B21
53491	SSDK	SMDK	SMDK	2640D
53492	SSDK1	XSMDK	SMDK	
53493	SSDOO	SSDOO	SSDOO	2246C
53494	SSD1	XSMD	SMD	26414
53495	SSE	SSE	SSE	21C4A
53496	SSEA	SMEA	SMEA	4393
53497	SSF	SSF	SSF	71DB
53498	SSFK	SMFBK	SMFBK	26490
53499	SSF1	SMSMF	SMSMF	24217
53500	SSF2	XSSF	SSF	2424E
53501	SSGB	SMGB	SMGB	26418
53502	SSGCG	SSGCG	SSGCG	2246B
53503	SSGGU	SMGGU	SMGGU	2648F
53504	SSGHZ	SGHAF	SGHAF	9E10
53505	SSGKS	XSGKS	SGKS	
53506	SSGNL	XXSGN	SGNL	287A9
53507	SSGNO	XSGNO	SGNO	23929
53508	SSGOG	SGOG	SGOG	29059
53509	SSGU	XSMGG	SMGGU	26492
53510	SSGYE	SGYE	SGYE	
53511	SSH	SSH	SSH	2096D
53512	SSHA	SMHA	SMHA	7FD2
53513	SSHA1	XSMHA	SMHA	2641A
53514	SSHB	SMHSB	SMHSB	2646E
53515	SSHB1	SMHKB	SMHKB	26493
53516	SSHD	SMHJD	SMHJD	26423
53517	SSHD1	SHND	SHND	
53518	SSHFW	SSHDW	SSHDW	22475
53519	SSHG	SMHAG	SMHAG	26460
53520	SSHGU	SMHGU	SMHGU	
53521	SSHHZ	SHHAF	SHHAF	9DDA
53522	SSHI	SMHVI	SMHVI	
53523	SSHKS	SHKS	SHKS	52E0
53524	SSHLN	SHLN	SHLN	5279
53525	SSHM	SMHPM	SMHPM	26420
53526	SSHMZ	SHMBC	SHMBC	985F
53527	SSHNE	SNHNE	SNHNE	
53528	SSHNL	SHNL	SHNL	911D
53529	SSHN1	SSHNE	SSHNE	23A90
53530	SSHO	SMHQO	SMHQO	7FD0
53531	SSHOG	SHOG	SHOG	96E1
53532	SSHP	SMHUP	SMHUP	2640A
53533	SSHQL	SSHQL	SSHQL	
53534	SSHQU	SMHQU	SMHQU	6BE3
53535	SSHR	XSMHE	SMHER	26426
53536	SSHSL	SSHSL	SSHSL	22026
53537	SSHT	SMHT	SMHT	26412
53538	SSHU	SMHAU	SMHAU	26440
53539	SSHX	SMHJX	SMHJX	
53540	SSHY	SMHBY	SMHBY	26429
53541	SSHYE	SHYE	SHYE	
53542	SSHZ	SMHAF	SMHAF	7FF5
53543	SSHZ1	SSHAF	SSHAF	29FDD
53544	SSHZ2	XSSHA	SSHAF	2A02B
53545	SSI	XSMI	SMI	26402
53546	SSIB	SMIJB	SMIJB	438D
53547	SSIBP	SMIBP	SMIBP	
53548	SSIB1	XSMIS	SMISB	
53549	SSIE	XSMIC	SMICE	
53550	SSII	SMIHI	SMIHI	4389
53551	SSIIB	SSIIB	SSIIB	2202C
53552	SSIIL	SSIIL	SSIIL	22028
53553	SSII1	SMII	SMII	4392
53554	SSII2	SMIBI	SMIBI	4394
53555	SSIK	XSMIK	SMIKK	26417
53556	SSIKE	SMIKE	SMIKE	7FC7
53556	SSIKK	SMIKK	SMIKK	7FC7
53557	SSIKE	SMIKE	SMIKE	7FC7
53557	SSIKK	SMIKK	SMIKK	7FC7
53558	SSIK1	XXSMI	SMIK	
53559	SSIM	SMIRM	SMIRM	2644C
53560	SSIP	SMIP	SMIP	263F5
53561	SSIS	SMIBS	SMIBS	2648A
53562	SSIU	SMIV	SMIV	4380
53563	SSJ	SSJ	SSJ	21C61
53564	SSJE	SMJE	SMJE	7FC4
53565	SSJE1	SSJE	SSJE	21C7E
53566	SSJI	SMJTI	SMJTI	264A8
53567	SSJJB	SSJJB	SSJJB	2202D
53568	SSJO	SMJLO	SMJLO	26448
53569	SSJP	SMJIP	SMJIP	2648E
53570	SSJU	SSJU	SSJU	21C77
53571	SSKE	SMKE	SMKE	26413
53572	SSKI	SMKI	SMKI	2640C
53573	SSKLL	SSKLL	SSKLL	81E9
53574	SSKNJ	SMKNJ	SMKNJ	7FC6
53575	SSKOO	SMKOO	SMKOO	7FDC
53576	SSKU	SMKLU	SMKLU	
53577	SSKV	SMKLV	SMKLV	2644E
53578	SSL	SML	SML	7FC0
53579	SSLB			
53580	SSLBU	SSLBU	SSLBU	2245D
53581	SSLII	SSLII	SSLII	87B6
53582	SSLP	SMLWP	SMLWP	4388
53583	SSLWP	XSMLW	SMLWP	2642A
53584	SSM	SMM	SMM	7FBE
53585	SSMB	SMMFB	SMMFB	264A4
53586	SSMD	SMMD	SMMD	263F4
53587	SSMFF	SSMFF	SSMFF	2247D
53588	SSMFJ	SMMFJ	SMMFJ	2641C
53589	SSMG	SMMG	SMMG	437F
53590	SSMJ	SMMJ	SMMJ	263F9
53591	SSMJJ	SMMJJ	SMMJJ	26427
53592	SSMJS	SMMJS	SMMJS	
53593	SSMKJ	SMMKJ	SMMKJ	
53594	SSMKS	SMMKS	SMMKS	
53595	SSMM	SMMM	SMMM	
53596	SSMMS	SMMMS	SMMMS	263FB
53597	SSMT	SMMT	SMMT	
53598	SSMVM	SMMVM	SMMVM	
53599	SSMW			
53600	SSMX	SMMJX	SMMJX	26463
53601	SSMZ	SMMBC	SMMBC	9828
53602	SSN	SSN	SSN	4E6C
53603	SSNB	XSMNH	SMNHB	
53604	SSNE	SMNHE	SMNHE	2640F
53605	SSNFD	SSNFD	SSNFD	22031
53606	SSNG	SMNKG	SMNKG	2643F
53607	SSNHE	XXSMN	SMNHE	26405
53608	SSNIN	SSNIN	SSNIN	215A9
53609	SSNK	SMNMK	SMNMK	2645A
53610	SSNL	SSNL	SSNL	48B9
53611	SSNL1	SMNL	SMNL	48C1
53612	SSNL2	XSSNL	SSNL	286C3
53613	SSNOO	SSNOO	SSNOO	2246E
53614	SSNR	SMNMR	SMNMR	
53615	SSNU	SMNRU	SMNRU	26419
53616	SSNZH	SMNIH	SMNIH	
53617	SSN1	XSMN	SMN	223D6
53618	SSN2	XSSN	SSN	
53619	SSOBT	SSOMB	SSOMB	22027
53620	SSOG	SMOG	SMOG	7FDF
53621	SSOG1			2644F
53622	SSOG2			28FC9
53623	SSOHH	SMOHH	SMOHH	7FCF
53624	SSOHT	SMOHT	SMOHT	25094
53625	SSOK	SMONK	SMONK	7FED
53626	SSOK1	SSOK	SSOK	22F11
53627	SSONI	SMOII	SMOII	4386
53628	SSOPD	SSOPD	SSOPD	22460
53629	SSOR	SMOMR	SMOMR	2642C
53630	SSORT	SMORT	SMORT	250A8
53631	SSOS	SMOS	SMOS	
53632	SSOSL	SMOML	SMOML	
53633	SSOV	SMVO	SMVO	263F6
53634	SSPA	SMPA	SMPA	26425
53635	SSPD	XSMPD	SMPD	263F8
53636	SSPKS	SPKS	SPKS	208AF
53637	SSPR	SMPR	SMPR	7FD1
53638	SSPR1	SMPYR	SMPYR	2645F
53639	SSPT	SMPT	SMPT	26415
53640	SSPU	SMPRU	SMPRU	4382
53641	SSQ	SMQ	SMQ	22B19
53642	SSQA	SMJKA	SMJKA	26465
53643	SSQB	SMQMB	SMQMB	2644A
53644	SSQIA	XSMJK	SMJKA	
53645	SSQJL	SSQJL	SSQJL	22025
53646	SSQKL	SSQKL	SSQKL	
53647	SSQMB	XSMQM	SMQMB	26456
53648	SSQP	SMQJP	SMQJP	439A
53649	SSQS	SMQJM	SMQJM	26484
53650	SSR	SSR	SSR	5C40
53651	SSRA	SRRXU	SRRXU	2A4E9
53652	SSRC	SMRC	SMRC	26416
53653	SSRC1	SMRBC	SMRBC	26470
53654	SSRE	SMVNE	SMVNE	4391
53654	SSSE	SMNME	SMNME	4391
53655	SSRMZ	XXSRM	SRMBC	294DB
53656	SSRO	SMRYO	SMRYO	438C
53657	SSS	SSS	SSS	5DEA
53658	SSSC	SSMC	SSMC	20966
53659	SSRE	SMVNE	SMVNE	4391
53659	SSSE	SMNME	SMNME	4391
53660	SSSF	SMSQF	SMSQF	298B3
53661	SSSH	SSMH	SSMH	21CC7
53662	SSSOK	SMSOK	SMSOK	26444
53663	SSSS	SSSMM	SSSMM	26431
53664	SSSS1	SSSS	SSSS	
53665	SSSS2	SMSSS	SMSSS	
53666	SSSU	SMSJU	SMSJU	438E
53667	SSS1	XSSS	SSS	
53668	SSS2	XXSSS	SSS	
53669	SST	SMT	SMT	7FBF
53670	SSTM	SMTQM	SMTQM	26481
53671	SSTO	SMTLO	SMTLO	26485
53672	SSTQ	SSTQ	SSTQ	2637D
53673	SSU	SMU	SMU	263F3
53674	SSUE	SMUCE	SMUCE	7FEA
53675	SSV	XSMV	SMV	
53676	SSVV	XSMVV	SMVVV	264A6
53677	SSWC	XXSMW	SMWTC	26496
53678	SSWE	SMWLE	SMWLE	26476
53679	SSWLL	SMWLJ	SMWLJ	
53680	SSWTC	SMWTC	SMWTC	7FFC
53681	SSWV	SMWLV	SMWLV	264A0
53682	SSYA	SSYA	SSYA	2642E
53683	SSYF	SMYRF	SMYRF	7FDE
53684	SSYG	SSYG	SSYG	
53685	SSYJ	SMYJJ	SMYJJ	7FF4
53686	SSYK	SMYK	SMYK	26410
53687	SSYL			26439
53688	SSYL1	SSYTJ	SSYTJ	28415
53689	SSYOJ	SMYOJ	SMYOJ	7FE0
53690	SSYRB	SMYRB	SMYRB	7FEF
53691	SSYT	SMYT	SMYT	7FCC
53692	SSYTV	SMYTV	SMYTV	7FE3
53693	SSYT1	XSMYT	SMYT	7FCB
53694	SSYV	SMYV	SMYV	26400
53695	SS1	SMSIM	SMSIM	7FBD
53696	SS2	XSS	SS	21C32
53697	SS3	SSIM	SSIM	21C33
53698	SS4	XXXSS	SS	
53699	SS5	XXSMS	SMSM	22451
53700	STC	STC	STC	21C52
53701	STCNO	SCNO	SCNO	238E3
53702	STCW	STCW	STCW	21C9A
53703	STFH	STFH	STFH	21BBB
53704	STHQU	STHQU	STHQU	3CAF
53705	STHQ1	XSTHQ	STHQU	23C44
53706	STHV	STHV	STHV	
53707	STKR	STKR	STKR	533F
53708	STKR1	XSTKR	STKR	21CA2
53709	STLI	STLI	STLI	2749D
53710	STMUN	STMVN	STMVN	24B78
53711	STOX	STOX	STOX	5336
53712	STQ	STQ	STQ	21C5D
53713	STQLN	XSQLN	SQLN	2082E
53714	STQQ	STQQ	STQQ	7FBC
53715	STQT	STQT	STQT	
53716	STT	STT	STT	5C4F
53717	STTLN	XXSTL	STLN	2076D
53718	STU	STU	STU	21C5E
53719	STV	STV	STV	5C55
53720	STVHZ	XSVHA	SVHAF	2A121
53721	STVI	SVLMI	SVLMI	273B0
53722	STVI1	XSVLI	SVLII	27521
53723	STVO	SVRYO	SVRYO	280E8
53724	STWI	STWI	STWI	20959
53725	STWK	STWK	STWK	379F
53726	STXUO	STYMU	STYMU	2A681
53727	STZ	STMC	STMC	2094A
53728	SU	SU	SU	5DF1
53729	SUA	SUA	SUA	21C89
53730	SUA1	XSUA	SUA	
53731	SUB	SUB	SUB	21C8A
53732	SUBD	SUBD	SUBD	28914
53733	SUBM	SUBM	SUBM	21CA4
53734	SUBT	SUBT	SUBT	25065
53735	SUBT1	XSUBT	SUBT	
53736	SUBU	SUBU	SUBU	
53737	SUD	SUD	SUD	
53738	SUDHE	SUDHE	SUDHE	
53739	SUDI	SUDI	SUDI	5C57
53740	SUD1	XSUD	SUD	233BF
53741	SUF	SUF	SUF	7199
53742	SUFD	SUFD	SUFD	
53743	SUF1	XSUF	SUF	7155
53744	SUF2	XXSUF	SUF	242EE
53745	SUF3			24194
53746	SUF4			24228
53747	SUF5			24307
53748	SUG	SUG	SUG	5C46
53749	SUGI	SUGI	SUGI	21CA8
53750	SUGOG	SUGOG	SUGOG	21CEA
53751	SUHDD	SUHDD	SUHDD	21CDC
53752	SUHFD	SUHFD	SUHFD	
53753	SUHLO	SUHLO	SUHLO	238C1
53754	SUHQM	SUHQM	SUHQM	21CA5
53755	SUHQV	SUHMV	SUHMV	
53756	SUHZ			29FA0
53757	SUIFM	SUIFM	SUIFM	25700
53758	SUIIH	SUIIH	SUIIH	
53759	SUIKH	SUIKH	SUIKH	21CD4
53760	SUJ	SUJ	SUJ	2097F
53761	SUJD	SUJD	SUJD	21CA7
53762	SUJMF	SUJMF	SUJMF	21CD3
53763	SUJWJ	SUJWJ	SUJWJ	
53764	SUJZ	SUDM	SUDM	
53765	SUKLB	SUKLB	SUKLB	21CAB
53766	SULE	SULE	SULE	
53767	SULGA	SULGA	SULGA	21CE9
53768	SULGM	SULGM	SULGM	26627
53769	SULSY	SULMY	SULMY	21CD5
53770	SULWP	SULWP	SULWP	21CAD
53771	SUMFM	SUMFM	SUMFM	
53772	SUMG	SUMG	SUMG	5329
53772	SUQM	SUQM	SUQM	
53773	SUMGT	SUMGT	SUMGT	21CCA
53774	SUMG1	XSUMG	SUMG	20946
53775	SUMG2	XXSUM	SUMG	24A88
53776	SUMJ	SUMJ	SUMJ	21C6D
53777	SUMRE	SUMRE	SUMRE	
53778	SUMT	SUMT	SUMT	21CC2
53779	SUMUN	SUMVN	SUMVN	24B57
53780	SUMVU	SUMVU	SUMVU	21CBD
53781	SUMZ	SUMBC	SUMBC	4AB1
53782	SUMZ1	XXNUM	NUMBC	29494
53783	SUND	SUND	SUND	5C58
53784	SUNDD	SUNDD	SUNDD	219A5
53785	SUNHD	SUNSD	SUNSD	21CAA
53786	SUNH1	XSUNS	SUNSD	21978
53787	SUNL	SUNL	SUNL	9094
53788	SUNMU	SUNMU	SUNMU	21CC0
53789	SUNO	SUNO	SUNO	23887
53790	SUOK	SUOK	SUOK	6539
53791	SUOMI	SUOMI	SUOMI	21CC3
53792	SUOWA	SUOMA	SUOMA	21CF3
53793	SUP	SUP	SUP	5FCC
53794	SUPHZ	SPHAF	SPHAF	9D4B
53795	SUPNL	SPNL	SPNL	286D1
53796	SUP1	XSUP	SUP	2278D
53797	SUMG	SUMG	SUMG	5329
53797	SUQM	SUQM	SUQM	
53798	SUQMH	SUQMH	SUQMH	
53799	SUQMY	SUQMY	SUQMY	
53800	SUR	SUR	SUR	20BAF
53801	SURHR	SURHR	SURHR	21CCE
53802	SUSL	SUSL	SUSL	
53803	SUSQF	SUSQF	SUSQF	298F9
53804	SUSQ1	XSUSQ	SUSQF	
53805	SUSU	SUSU	SUSU	22035
53806	SUSUU	SUSUU	SUSUU	20A15
53807	SUSU1	XSUSU	SUSU	20A0E
53808	RUT	RUT	RUT	5F02
53808	SUT	SUT	SUT	
53809	RUTC	RUTC	RUTC	5DFD
53809	RVTC	RVTC	RVTC	
53809	SUTC	SUTC	SUTC	22049
53810	SUTOK	STOK	STOK	22F37
53811	SUTOP	SUTOP	SUTOP	21CD6
53812	SUTW	SUTW	SUTW	23341
53813	SUTWB	SUTWB	SUTWB	21CF1
53814	SUTWT	SUTWT	SUTWT	
53815	SUTZ	SUTMC	SUTMC	3831
53816	SUU	SUU	SUU	5C48
53817	SUUHZ	SUHAF	SUHAF	9D8C
53818	SUUKS	XXSUK	SUKS	
53819	SUULN	SULN	SULN	2073E
53820	SUUMZ	XSUMB	SUMBC	294E6
53821	SUUNL	XXSUN	SUNL	
53822	SUUU	SUHQU	SUHQU	23B88
53823	SUU1	XSUU	SUU	37AF
53824	SUU2	XXSUU	SUU	20971
53825	SUU3	SUUS	SUUS	21D08
53826	SUV	SUV	SUV	5A90
53827	SUV1	XSUV	SUV	5980
53828	SUWFF	SUWGF	SUWGF	2A450
53829	SUWLP	SUWLP	SUWLP	21CF9
53830	SUY	SUY	SUY	209EE
53831	SUYK	SUYK	SUYK	21C88
53832	SUYOJ	SUYOJ	SUYOJ	21CDD
53833	SUYVO	SUYVO	SUYVO	21CBC
53834	SU1	XSU	SU	5DF2
53835	SU2	XXSU	SU	353E
53836	SU3	NMU	NMU	37AA
53837	SU4	XXXSU	SU	
53838	SU5	XNV	NV	
53839	SV	SV	SV	
53840	SVFD	SVFD	SVFD	25F3F
53841	SVFR	SVFR	SVFR	21CCD
53842	SVHBY	SVHBY	SVHBY	26AB1
53843	SVHNE	SVHNE	SVHNE	23AB5
53844	SVI	SVI	SVI	221B1
53845	SVIF	SVIF	SVIF	21C4F
53846	SVKN	SVKN	SVKN	
53847	SVLII	SILII	SILII	
53848	SVLI1	SVLII	SVLII	274F1
53849	SVMB	SVMB	SVMB	5C6B
53850	SVMG	SVMG	SVMG	5328
53851	SVOK	SVLK	SVLK	21C59
53852	SVS	SVS	SVS	22398
53853	SVSHP	SVSIP	SVSIP	28C85
53854	SVSMV	SVSMV	SVSMV	28C8D
53855	SVS1			2239D
53856	SVYWM	SVYWM	SVYWM	28CB7
53857	SV1			
53858	SV2	XSV	SV	
53859	SW	SW	SW	5C47
53860	SWBT	SWBT	SWBT	9E7D
53861	SWBT1	XSWBT	SWBT	250C6
53862	SWBUU	SWBUU	SWBUU	89BD
53863	SWC	SWC	SWC	9452
53864	SWD	SWD	SWD	3BFA
53865	SWD1	XSWD	SWD	21C7C
53866	SWE	SWE	SWE	24029
53867	SWFD	SWFD	SWFD	25F4F
53868	SWFG	SWGG	SWGG	21CEB
53869	SWG	SWG	SWG	21493
53870	SWJWJ	SWJWJ	SWJWJ	283CA
53871	SWL	SWL	SWL	5323
53872	SWLK	SWLK	SWLK	
53873	SWL1	SMWL	SMWL	22456
53874	SWMG	SWMG	SWMG	
53875	SWMGI	SWMGI	SWMGI	24A8B
53876	SWMUN	SWMVN	SWMVN	3F49
53877	SWOJU	SWOJU	SWOJU	2625E
53878	SWOO	SWOO	SWOO	2093D
53879	SWQ	SWQ	SWQ	64E5
53880	SWTC	SWTC	SWTC	3534
53881	SWYMR	SWYMR	SWYMR	8B7C
53882	SX	NX	NX	534D
53883	SXDHE	SXDHE	SXDHE	
53884	SXFF	SXFF	SXFF	
53885	SXJC	SXJC	SXJC	
53886	SXO	SHXO	SHXO	3531
53887	SXSHX	XSMSI	SMSIM	
53888	SYE	SYE	SYE	21C35
53889	SYHN	SYHN	SYHN	531F
53890	SYHYN	SYHYN	SYHYN	4599
53890	SYHYU	SYHYU	SYHYU	4599
53891	SYHYN	SYHYN	SYHYN	4599
53891	SYHYU	SYHYU	SYHYU	4599
53892	SYJ	SYJ	SYJ	21C37
53893	SYJC	SYJC	SYJC	3536
53894	SYL	SYTJ	SYTJ	5C56
53895	SYLLN			20782
53896	SYMR	SYMR	SYMR	20947
53897	SYMR1	XSYMR	SYMR	20975
53898	SOOAV	SOOIV	SOOIV	
53898	SYOAV	SYOIV	SYOIV	4B46
53899	SYP	SYP	SYP	226F6
53900	SYPM	SYPM	SYPM	21CC6
53901	SYPN	SYPN	SYPN	
53902	SYPT	SYPT	SYPT	21CEC
53903	SYPU	SYPU	SYPU	20976
53904	SYR	SYR	SYR	21C47
53905	SYSR			22454
53906	SYT	SYT	SYT	3790
53907	SYVO	SYVO	SYVO	21C4D
53908	SYYMR	SYYMR	SYYMR	
53909	SYYPN	SYYPN	SYYPN	
53910	SYYPU	SYYPU	SYYPU	
53911	T	T	T	5EFF
53912	TA	TA	TA	6614
53913	TAA	TAA	TAA	83D6
53914	TAAA	TAAA	TAAA	854C
53915	TAB	TAB	TAB	840C
53916	TABJ	TABJ	TABJ	26FA5
53917	TABP	TABP	TABP	22857
53918	TABP1	XTABP	TABP	270A1
53919	TABT	TABT	TABT	8480
53920	TABT1	XTABT	TABT	
53921	TABU	TABU	TABU	843A
53922	TACH	TACH	TACH	26E2B
53923	TAD	TAD	TAD	83D2
53924	TADHE	TADHE	TADHE	76B5
53925	TADI	TADI	TADI	83B3
53926	TADQ	TADQ	TADQ	26F9B
53927	TADW	TADW	TADW	23356
53928	TAENL	XTENL	TENL	287BC
53929	TAFH	TAFH	TAFH	21BA6
53930	TAFU	TAFU	TAFU	26D7D
53931	TAG	TAG	TAG	26BD6
53932	TAGI	TAGI	TAGI	8494
53933	TAGZ	TAGLC	TAGLC	27E68
53934	TAHML	TAHML	TAHML	65AE
53935	TAHM1	XTAHM	TAHML	230C8
53936	TAHQU	TAHQU	TAHQU	23BFD
53937	TAHU	TAHU	TAHU	847F
53938	TAHYM	TAPYM	TAPYM	9E4A
53939	TAHZ	TAHAF	TAHAF	9D72
53940	TAI	TAI	TAI	229C9
